logins_per_week,avg_time_per_session,quiz_score_avg,modules_completed,days_since_login,revisit_count,assignment_submissions,forum_activity,video_watch_pct,at_risk
4,75.04389708468574,49.963209507789,14,18,4,7,5,94.20038393619225,0
12,30.593828372971984,96.05714451279329,11,4,6,10,8,83.40313308833665,0
8,25.941732935885625,78.5595153449124,15,11,9,9,7,90.38424926900674,0
4,65.58868119465372,67.89267873576293,18,0,6,6,3,62.07503666334364,0
8,20.055434251224476,32.48149123539492,7,22,2,2,0,0.0,1
6,18.81925755975805,32.47956162689621,16,4,2,3,1,28.536805962970504,1
3,62.07440027445193,24.64668897345596,4,7,3,4,1,25.39511933121153,1
5,81.22945259652266,89.29409166199481,15,12,6,4,2,87.40372197744429,0
4,81.25708960914261,68.0892009394567,5,7,5,10,1,72.89576204437172,0
7,49.65580248120636,76.64580622368364,7,24,4,4,0,30.787322296483346,1
1,61.671662062199914,21.646759543664196,17,22,2,0,1,23.34425229030947,1
12,46.51595408559707,97.59278817295954,11,10,8,10,9,78.33981150535209,0
3,62.88130165826058,86.59541126403374,14,0,8,9,5,60.87344437913287,0
3,5.0,36.987128854262096,8,12,0,3,2,16.24419031465861,1
8,55.19574473906154,34.54599737656805,12,18,3,2,1,25.75706580525192,1
1,23.209448839646853,34.6723607882747,14,23,2,1,1,13.962196361314591,1
9,116.11893171935479,44.33937943676302,9,2,8,6,6,47.93182383581271,0
5,42.01315668302458,61.98051453057903,15,23,6,6,7,66.68748261944376,0
4,26.54189335981197,54.55560149136926,6,16,1,4,2,28.244581168724743,1
2,103.279725596162,43.298331215843355,16,4,2,6,3,85.5825956797314,0
2,57.86376694414503,68.94823157779035,6,19,1,2,1,36.19416390415614,1
0,52.83788245717277,31.15950885216335,13,20,3,0,0,38.51186761042453,1
3,50.3596100557819,43.37157188281745,14,7,7,7,5,69.57749637325671,0
6,30.319657527558306,49.308947463495336,6,25,1,1,2,0.0,1
8,77.69932832095269,56.48559873736288,8,13,6,8,4,71.28215875522446,0
9,85.9713334622118,82.81407691144109,18,3,4,3,3,67.16413118721438,0
9,54.99490950876695,35.97390257266878,15,10,2,0,2,17.768135735177957,1
4,5.0,61.13875507308893,7,19,2,2,1,28.54970369009275,1
8,68.65106882889636,67.39316550896339,17,14,4,6,5,73.67162261667548,0
9,34.2003729112672,23.71603301759982,17,18,0,5,0,0.0,1
9,63.15390313101702,68.60358815211507,19,6,3,3,4,67.6628637672714,0
4,25.15026444460801,33.64192989498332,6,18,4,0,1,16.897914408045846,1
4,35.70924670964073,25.20412743882236,2,27,0,2,0,19.677239029722767,1
4,78.91355814163848,95.91084298026666,17,18,6,7,3,62.60350808535559,0
5,78.47015748044075,97.25056264596475,9,10,4,9,7,65.39752383417108,0
2,22.483703507074132,84.67178784931689,6,25,1,0,1,24.834905175573883,1
6,47.517562822784534,44.36910153386965,16,4,4,7,3,75.90067516704569,0
2,23.88946634978959,27.81376912051071,13,4,0,1,1,33.152864988250414,1
0,35.6977239965902,74.73864212097254,2,29,3,4,0,35.22490977096159,1
4,70.84553255322604,55.21219949916811,11,21,0,2,1,60.0,1
2,59.88703039630847,29.763058787582306,12,7,0,3,1,41.88519898185193,1
7,76.5434110575558,59.614152808901615,1,9,4,10,6,53.05277454603156,0
7,30.002551391782966,22.75108168921747,2,5,0,3,1,15.69603554998482,1
4,97.6027787773703,92.74563216630257,4,14,5,6,3,77.75500453770903,0
2,110.74421279436716,40.70239852800135,10,15,8,9,7,75.41290914348521,0
3,36.078135786461246,73.00178274831856,7,27,2,3,1,17.300303664915088,1
8,80.21070756902472,44.93688608715288,11,16,4,6,5,63.35924395701737,0
4,74.03477309592088,61.605441694224865,6,7,7,7,5,73.57837105959321,0
6,80.60738377997599,63.73682234746237,14,7,8,6,2,70.92015496361296,0
0,36.79739720804126,34.788356442042165,16,24,1,1,0,33.337876889761105,1
8,69.30871520312394,97.56677022116469,3,8,7,5,6,73.6811461265701,0
3,88.11435200994731,82.01062586888916,12,1,3,9,1,85.83048320126059,0
